"Kreise (2020) Kennziffer";"Kreise (2020) Name";"Siedlungsstruktureller Kreistyp (2020) Kennziffer";"Siedlungsstruktureller Kreistyp (2020) Name"
"10044000";"Saarlouis";"2";"Städtischer Kreis"
"10045000";"Saarpfalz-Kreis";"2";"Städtischer Kreis"
"10046000";"St. Wendel";"2";"Städtischer Kreis"
"11000000";"Berlin, Stadt";"1";"kreisfreie Großstadt"
"12051000";"Brandenburg an der Havel, Stadt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"12052000";"Cottbus, Stadt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"12053000";"Frankfurt (Oder), Stadt";"4";"Dünn besiedelter ländlicher Kreis"
"12054000";"Potsdam, Stadt";"1";"kreisfreie Großstadt"
"12060000";"Barnim";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"12061000";"Dahme-Spreewald";"4";"Dünn besiedelter ländlicher Kreis"
"12062000";"Elbe-Elster";"4";"Dünn besiedelter ländlicher Kreis"
"12063000";"Havelland";"4";"Dünn besiedelter ländlicher Kreis"
"12064000";"Märkisch-Oderland";"4";"Dünn besiedelter ländlicher Kreis"
"12065000";"Oberhavel";"4";"Dünn besiedelter ländlicher Kreis"
"12066000";"Oberspreewald-Lausitz";"4";"Dünn besiedelter ländlicher Kreis"
"12067000";"Oder-Spree";"4";"Dünn besiedelter ländlicher Kreis"
"12068000";"Ostprignitz-Ruppin";"4";"Dünn besiedelter ländlicher Kreis"
"12069000";"Potsdam-Mittelmark";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"12070000";"Prignitz";"4";"Dünn besiedelter ländlicher Kreis"
"12071000";"Spree-Neiße";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"12072000";"Teltow-Fläming";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"12073000";"Uckermark";"4";"Dünn besiedelter ländlicher Kreis"
"13003000";"Rostock";"1";"kreisfreie Großstadt"
"13004000";"Schwerin";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"13071000";"Mecklenburgische Seenplatte";"4";"Dünn besiedelter ländlicher Kreis"
"13072000";"Landkreis Rostock";"4";"Dünn besiedelter ländlicher Kreis"
"13073000";"Vorpommern-Rügen";"4";"Dünn besiedelter ländlicher Kreis"
"13074000";"Nordwestmecklenburg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"13075000";"Vorpommern-Greifswald";"4";"Dünn besiedelter ländlicher Kreis"
"13076000";"Ludwigslust-Parchim";"4";"Dünn besiedelter ländlicher Kreis"
"14511000";"Chemnitz, Stadt";"1";"kreisfreie Großstadt"
"14521000";"Erzgebirgskreis";"2";"Städtischer Kreis"
"14522000";"Mittelsachsen";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"14523000";"Vogtlandkreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"14524000";"Zwickau";"2";"Städtischer Kreis"
"14612000";"Dresden, Stadt";"1";"kreisfreie Großstadt"
"14625000";"Bautzen";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"14626000";"Görlitz";"4";"Dünn besiedelter ländlicher Kreis"
"14627000";"Meißen";"4";"Dünn besiedelter ländlicher Kreis"
"14628000";"Sächsische Schweiz-Osterzgebirge";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"14713000";"Leipzig, Stadt";"1";"kreisfreie Großstadt"
"14729000";"Leipzig";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"14730000";"Nordsachsen";"4";"Dünn besiedelter ländlicher Kreis"
"15001000";"Dessau-Roßlau, Stadt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15002000";"Halle (Saale), Stadt";"1";"kreisfreie Großstadt"
"15003000";"Magdeburg, Landeshauptstadt";"1";"kreisfreie Großstadt"
"15081000";"Altmarkkreis Salzwedel";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15082000";"Anhalt-Bitterfeld";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15083000";"Börde";"4";"Dünn besiedelter ländlicher Kreis"
"15084000";"Burgenlandkreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15085000";"Harz";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15086000";"Jerichower Land";"4";"Dünn besiedelter ländlicher Kreis"
"15087000";"Mansfeld-Südharz";"4";"Dünn besiedelter ländlicher Kreis"
"15088000";"Saalekreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15089000";"Salzlandkreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"15090000";"Stendal";"4";"Dünn besiedelter ländlicher Kreis"
"15091000";"Wittenberg";"4";"Dünn besiedelter ländlicher Kreis"
"16051000";"Erfurt, Stadt";"1";"kreisfreie Großstadt"
"16052000";"Gera, Stadt";"2";"Städtischer Kreis"
"16053000";"Jena, Stadt";"1";"kreisfreie Großstadt"
"16054000";"Suhl, Stadt";"4";"Dünn besiedelter ländlicher Kreis"
"16055000";"Weimar, Stadt";"2";"Städtischer Kreis"
"16056000";"Eisenach, Stadt";"4";"Dünn besiedelter ländlicher Kreis"
"16061000";"Eichsfeld";"4";"Dünn besiedelter ländlicher Kreis"
"16062000";"Nordhausen";"4";"Dünn besiedelter ländlicher Kreis"
"16063000";"Wartburgkreis";"4";"Dünn besiedelter ländlicher Kreis"
"16064000";"Unstrut-Hainich-Kreis";"4";"Dünn besiedelter ländlicher Kreis"
"16065000";"Kyffhäuserkreis";"4";"Dünn besiedelter ländlicher Kreis"
"16066000";"Schmalkalden-Meiningen";"4";"Dünn besiedelter ländlicher Kreis"
"16067000";"Gotha";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"16068000";"Sömmerda";"4";"Dünn besiedelter ländlicher Kreis"
"16069000";"Hildburghausen";"4";"Dünn besiedelter ländlicher Kreis"
"16070000";"Ilm-Kreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"16071000";"Weimarer Land";"2";"Städtischer Kreis"
"16072000";"Sonneberg";"4";"Dünn besiedelter ländlicher Kreis"
"16073000";"Saalfeld-Rudolstadt";"4";"Dünn besiedelter ländlicher Kreis"
"16074000";"Saale-Holzland-Kreis";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"16075000";"Saale-Orla-Kreis";"4";"Dünn besiedelter ländlicher Kreis"
"16076000";"Greiz";"2";"Städtischer Kreis"
"16077000";"Altenburger Land";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
